property_id,county_fips_code,county,congressional_district_code,municipality_name,hud_property_name,property_street_address,city,state,zip_code,units,property_category_name,owner_organization_name,owner_address,owner_phone,owner_type,owner_effective_date,owner_id,property_manager_name,property_manager_company,property_manager_address,property_manager_phone,property_manager_email,property_manager_type,servicing_site_name
800785842,42003,Allegheny,13,Pleasant Hills,840 Quartz Plaza,761 Juan Bautista Plaza,Arcata,PA,16535,499,Insured-Unsubsidized,Housing Authority of Dormont,"1015 Corbett Spur, Jupiter, MN 69129",(412) 394-5619,Limited Dividend,2008-07-10,46703,Jacquetta Lloyd,Eddie Bauer,960 San Diego Trail,(412) 690-5387,fish1896@yahoo.com,Limited Dividend,OHP
800923694,42003,Allegheny,16,Dormont,1062 Encanto Parkway,1379 Oak Grove Parkway,East Chicago,PA,56254,196,Insured-Unsubsidized,Housing Authority of Chalfant,"621 Highland Lodge, Del City, AZ 31475",(412) 324-5524,Profit Motivated,1983-08-18,165301,Theodore Lynch,Marriott Corporation,1376 Castelo Landing,(412) 583-0444,washing1845@example.com,Limited Dividend,Pittsburgh
800069554,42003,Allegheny,14,South Park,1197 Mercato Creek,514 Wayland Field,Hinsdale,PA,69879,208,Insured-Unsubsidized,Housing Authority of Bell Acres,"645 Kenny Spur, Sumter, CO 79860",(412) 163-1797,Non-Profit,1992-03-16,191164,Jarred George,Lone Wolf Wealth Planning,102 Saint George Plaza,(412) 720-7460,resist1958@outlook.com,Non-Profit,Baltimore
800059030,42003,Allegheny,12,Shaler,Hastings Entertainment,624 Bacon Point,Johnson City,PA,08853,492,Insured-Unsubsidized,Housing Authority of Forest Hills,"1332 Ceres Park, Trenton, AK 10690",(412) 683-7516,Non-Profit,1987-10-06,116097,Crystle Harrington,Klipsch Audio Technologies,457 Dickinson Creek,(412) 328-8373,cancellation2016@example.org,Non-Profit,Baltimore
800765501,42003,Allegheny,14,Jefferson Hills,299 Decatur Pine,1311 Flournoy Alley,Pullman,PA,53266,169,Insured-Unsubsidized,Housing Authority of Aleppo,"205 Granada Highway, Coralville, NY 74323",(412) 437-8017,Profit Motivated,2014-11-14,332849,Russ Hanson,Omni Tech,1129 Potomac Hill,(412) 000-4757,blocking1839@gmail.com,Profit Motivated,Baltimore
800633051,42003,Allegheny,13,East Pittsburgh,997 Naglee Estate,552 Marston Road,Jupiter,PA,58570,298,Insured-Subsidized,Housing Authority of West Homestead,"729 Sandpiper Cove Road, Flagstaff, ID 23355",(412) 801-5929,Profit Motivated,1992-04-29,319227,Morgan West,Netgear,1141 San Miguel Shore,(412) 875-2943,siemens2032@gmail.com,Limited Dividend,Pittsburgh
800178614,42003,Allegheny,17,Ben Avon,Wise Appraisals,592 Kittredge Point,Bartlesville,PA,94288,345,Insured-Unsubsidized,Housing Authority of Richland,"20 Wayland Park, Austin, IL 67724",(412) 048-3100,Limited Dividend,1995-04-18,255413,Nicolasa Moody,World Airways,844 Onondaga Bridge,(412) 583-1652,launches1958@example.org,Profit Motivated,OHP
800090030,42003,Allegheny,17,Emsworth,860 Prescott Path,343 Fernwood Terrace,Lake Charles,PA,31582,339,Insured-Subsidized,Housing Authority of Crescent,"507 Berkeley Walk, Concord, NH 55669",(412) 482-3950,Non-Profit,1987-05-25,6222,Claris Patrick,Stratabiz,1382 Harbor Garden,(412) 396-3223,population1946@gmail.com,Non-Profit,Baltimore
800053467,42003,Allegheny,15,Oakmont,Advance Auto Parts,723 Meadowbrook Parkway,Knoxville,PA,03505,115,Insured-Unsubsidized,Housing Authority of Ingram,"404 Starview Lane, Tuscaloosa, MO 33660",(412) 320-9173,Limited Dividend,1980-08-27,257602,Graig Petty,Jarden,848 Carver Expressway,(412) 399-6142,michelle1865@yahoo.com,Profit Motivated,Baltimore
800692332,42003,Allegheny,12,Dravosburg,EMC Corporation,82 Waithman Point,Kaysville,PA,46257,256,Insured-Unsubsidized,Housing Authority of Emsworth,"1273 Golden Rapids, Bloomingdale, WA 84289",(412) 066-7645,Limited Dividend,1974-02-15,416812,Claude Baldwin,AmerisourceBergen,1074 Castenada Lodge,(412) 585-3800,renaissance1871@protonmail.com,Profit Motivated,Baltimore
800190392,42003,Allegheny,14,McCandless,457 Hunters Point Stravenue,955 Flower Field,Palos Hills,PA,69647,405,Insured-Unsubsidized,Housing Authority of Robinson,"885 Lois Spur, Rutland, MN 03569",(412) 372-9914,Profit Motivated,1995-12-27,147122,Maryrose Warren,Opti-Tek,167 Quartz Court,(412) 321-7448,goes1855@gmail.com,Limited Dividend,Baltimore
800918471,42003,Allegheny,18,East Pittsburgh,698 Sal Pine,928 Indiana Expressway,McHenry,PA,96154,441,Insured-Unsubsidized,Housing Authority of Pine,"941 Garlington Bypass, Taylorsville, NV 06110",(412) 406-9592,Profit Motivated,1987-02-07,209230,Sari Emerson,DC Comics,1242 Christopher Pine,(412) 753-6677,terrorist1944@example.org,Limited Dividend,Baltimore
800691180,42003,Allegheny,17,Lincoln,1400 Kimball Point,864 Stevenson Ranch,Bessemer,PA,19805,142,Insured-Unsubsidized,Housing Authority of Pennsbury Village,"792 West Pacific Row, Alsip, SC 31843",(412) 636-4676,Profit Motivated,1981-11-29,107267,Coreen Patterson,Grass Roots Yard Services,491 Garcia Boulevard,(412) 037-3101,figured2008@yandex.com,Profit Motivated,Pittsburgh
800036000,42003,Allegheny,18,Plum,1100 Medical Center Trail,39 Jules Terrace,Hudson,PA,76042,68,Insured-Subsidized,Housing Authority of Sharpsburg,"189 General Kennedy Circle, Woodland, NY 66832",(412) 408-6580,Limited Dividend,1973-10-31,351274,Lesha Clemons,Starbucks,521 Lopez Court,(412) 799-2602,number2037@live.com,Profit Motivated,OHP
800362467,42003,Allegheny,14,Neville,1065 Zanowitz Pine,472 Avalon Spur,South Holland,PA,43365,472,Insured-Subsidized,Housing Authority of Blawnox,"1384 Davis Field, New London, WI 84638",(412) 477-8467,Non-Profit,1965-10-31,141799,Honey Pratt,ACCO Brands,421 Seneca Hill,(412) 039-7346,sufficiently2064@yahoo.com,Non-Profit,Baltimore
800264664,42003,Allegheny,12,Shaler,430 School Highway,441 Dorado Arcade,Americus,PA,81008,109,Insured-Unsubsidized,Housing Authority of Millvale,"982 Newburg Pike, University Park, KY 51636",(412) 031-0259,Non-Profit,1964-05-10,15396,Shiloh Sosa,Zappos.com,385 Mabini Road,(412) 157-0192,antique1828@live.com,Non-Profit,Baltimore
800858167,42003,Allegheny,17,Rankin,1338 Sears Stravenue,780 Keith Path,Thousand Oaks,PA,22402,109,Insured-Unsubsidized,Housing Authority of Brackenridge,"964 Ezekiel Annex, Radcliff, OK 00304",(412) 112-7958,Non-Profit,1965-02-01,402349,Arvilla Graham,Multi Tech Development,97 Oak Park Estate,(412) 987-8410,troubleshooting2050@yahoo.com,Limited Dividend,OHP
800893871,42003,Allegheny,17,Wilkinsburg,BorgWarner,1004 Winter Pike,Moorhead,PA,14065,364,Insured-Unsubsidized,Housing Authority of Moon,"544 Delano Cove, Huntley, OR 23541",(412) 630-3660,Non-Profit,2006-09-07,289559,Kris Valencia,Peterbilt,65 Prado Rapids,(412) 505-0491,keyboard1950@gmail.com,Profit Motivated,Pittsburgh
800585219,42003,Allegheny,17,Haysville,814 Boardman Cove,1233 Red Leaf Rapids,Trotwood,PA,68066,111,Insured-Subsidized,Housing Authority of Haysville,"1378 Millwright Cottage Access Bypass, Massillon, KY 55541",(412) 165-3699,Non-Profit,2013-11-16,224668,Yuonne Mccormick,AMR Corporation,1099 Owens Drive,(412) 392-3883,imported1953@yandex.com,Profit Motivated,Pittsburgh
800513188,42003,Allegheny,15,Sewickley Hills,27 Quarry Hill,1175 Orange Arcade,Crestview,PA,30045,290,Insured-Subsidized,Housing Authority of Braddock,"806 Hoffman Mews, Seguin, SC 80133",(412) 760-9760,Non-Profit,1992-12-01,207404,Rodolfo Barton,FreeWave Technologies,346 Burke Hill,(412) 674-9807,officials1814@yahoo.com,Limited Dividend,Pittsburgh
800413027,42003,Allegheny,15,White Oak,1119 John Maher Cove,1019 Alert Alley,Milledgeville,PA,32629,384,Insured-Unsubsidized,Housing Authority of Clairton,"207 Prague Road, Joplin, CO 10321",(412) 623-4385,Non-Profit,2022-03-18,18622,Magdalen Mckenzie,Gold Touch,1261 Thornton Ranch,(412) 704-9606,rats2021@protonmail.com,Profit Motivated,Pittsburgh
800026824,42003,Allegheny,13,West Homestead,StopGrey,633 Sternberg Street,Holly Springs,PA,27140,476,Insured-Unsubsidized,Housing Authority of Dravosburg,"165 Starview Drive, Oregon City, IN 91156",(412) 074-5263,Profit Motivated,1964-02-25,227950,Pauletta Cochran,Simply Save,319 Corbett Bridge,(412) 287-1080,earned2083@example.org,Limited Dividend,Pittsburgh
800763656,42003,Allegheny,17,Pennsbury Village,1315 Haight Parkway,399 Christopher Lodge,Berkeley,PA,15586,332,Insured-Subsidized,Housing Authority of West Elizabeth,"705 Ecker Place, Pittsburg, SC 73968",(412) 481-5672,Limited Dividend,1989-03-04,230875,Paulita George,Netstars Matrix Design,1234 Treasure Island Turnpike,(412) 420-7904,winners2046@protonmail.com,Non-Profit,OHP
800693285,42003,Allegheny,15,Munhall,Access Asia,841 Music Concourse Row,Bellingham,PA,47757,241,Insured-Subsidized,Housing Authority of Wilkinsburg,"139 Omar Place, Tiffin, MS 11265",(412) 647-0392,Profit Motivated,1967-10-28,14521,Wilson Barry,System Star Solutions,235 Mark Pass,(412) 772-0617,trinidad1896@yahoo.com,Profit Motivated,Pittsburgh
800014508,42003,Allegheny,18,Turtle Creek,THQ,623 Sussex Glen,Montrose,PA,62651,244,Insured-Unsubsidized,Housing Authority of Forward,"1170 Cook Lodge, Manassas, DE 46579",(412) 713-1725,Profit Motivated,2008-07-06,40918,Gregg Leonard,Planet Profit,1139 Georgia Arcade,(412) 277-2530,peter1899@yahoo.com,Limited Dividend,Baltimore
800527431,42003,Allegheny,15,Bradford Woods,732 Crane Row,352 Ironwood Spur,Lino Lakes,PA,67686,344,Insured-Subsidized,Housing Authority of Emsworth,"432 Quesada Motorway, Edmonds, IA 59346",(412) 854-9965,Non-Profit,1989-01-17,386468,Arlie Bishop,AVST,916 Selby Avenue,(412) 320-1239,specifically2066@gmail.com,Limited Dividend,Baltimore
800830724,42003,Allegheny,14,Kilbuck,Locost Accessories,429 Gilbert Rapids,Roseville,PA,16219,336,Insured-Subsidized,Housing Authority of Forest Hills,"74 Raycliff Parkway, Yuma, AZ 63915",(412) 102-6213,Profit Motivated,1990-10-08,148472,Miguel Mcdowell,Bose Corporation,573 Gibson Extension,(412) 732-9901,driving1952@example.org,Limited Dividend,OHP
800743348,42003,Allegheny,17,West Mifflin,1165 Madrid Mews,645 Jose Sarria Drive,Beaverton,PA,65182,353,Insured-Subsidized,Housing Authority of Springdale,"1370 Waller Cove, Petaluma, MD 69288",(412) 900-0417,Profit Motivated,1988-11-08,310558,Ranae Glass,Activision Blizzard,774 Ringold Hills,(412) 766-2281,admit1820@yandex.com,Profit Motivated,Baltimore
800604021,42003,Allegheny,16,West Homestead,1017 Venard Mews,318 Thornburg Annex,Converse,PA,00369,144,Insured-Unsubsidized,Housing Authority of Bethel Park,"515 Blythdale Gardens, Rockwall, AZ 64414",(412) 368-8662,Profit Motivated,2018-01-08,370211,Beckie Erickson,Verizon,425 Hazelwood Avenue,(412) 616-4811,stud1959@example.com,Limited Dividend,Pittsburgh
800152547,42003,Allegheny,14,Clairton,Eli Lilly and Company,238 Madrid Cove,Orinda,PA,77568,36,Insured-Subsidized,Housing Authority of Green Tree,"162 Adam Stravenue, South Milwaukee, AK 38927",(412) 574-7151,Profit Motivated,1989-09-27,364794,Emely Dawson,Jarden,45 Griffith Landing,(412) 819-1303,warned1942@outlook.com,Non-Profit,Pittsburgh
800332405,42003,Allegheny,16,Shaler,Profitpros,1249 Selby Run,Eastpointe,PA,97309,383,Insured-Unsubsidized,Housing Authority of East Pittsburgh,"526 Tacoma Park, Sun Prairie, CO 74649",(412) 434-7650,Limited Dividend,1994-04-18,348794,Riva Goodman,Omni Tech Solutions,925 Bocana Viaduct,(412) 077-6925,institute1821@live.com,Profit Motivated,OHP
800915418,42003,Allegheny,15,Aspinwall,Babcock and Wilcox,557 James Court,Lomita,PA,67859,276,Insured-Subsidized,Housing Authority of Rosslyn Farms,"860 Vulcan Circle, Salem, HI 26559",(412) 810-6373,Limited Dividend,1979-11-10,173150,Cruz Leonard,The Weinstein Company,1289 Peru Annex,(412) 266-0495,athens1882@example.com,Non-Profit,Baltimore
800204925,42003,Allegheny,17,Bell Acres,905 San Juan Run,203 Stigwood Alley,White Bear Lake,PA,04013,203,Insured-Subsidized,Housing Authority of Wilmerding,"66 Fernwood Green, Michigan City, MT 59135",(412) 944-5097,Profit Motivated,1991-10-20,275215,Lynwood Mcleod,Prospa-Pal,1072 Ashwood Trail,(412) 347-3936,devel2069@example.org,Limited Dividend,OHP
800693055,42003,Allegheny,16,Chalfant,Albemarle Corporation,890 Chabot Gardens,Victoria,PA,22372,316,Insured-Subsidized,Housing Authority of Leet,"128 Olive Square, Grapevine, WI 40392",(412) 370-0680,Non-Profit,1990-01-11,54654,Elke Kim,AVST,1171 Stanton Terrace,(412) 574-5615,antarctica2014@outlook.com,Limited Dividend,Pittsburgh
800384334,42003,Allegheny,12,McKees Rocks,169 Houston Lake,465 Alberta Arcade,Fort Wayne,PA,89004,206,Insured-Unsubsidized,Housing Authority of Indiana,"553 Carolina Run, Redmond, AL 95560",(412) 563-0450,Non-Profit,2011-03-26,373865,Granville Gardner,Alert Alarm Company,548 Kenwood Point,(412) 020-4090,celebration2064@example.org,Profit Motivated,Pittsburgh
800640024,42003,Allegheny,12,Moon,Nvidia,980 Rossi Manor,Salina,PA,63765,120,Insured-Unsubsidized,Housing Authority of Collier,"483 Almaden Lane, Asbury Park, AK 61245",(412) 209-0762,Limited Dividend,1993-09-18,138672,Santos Pratt,Vitamax Health Food Center,128 Saint Germain Garden,(412) 203-0194,deployment1960@outlook.com,Limited Dividend,Pittsburgh
800386567,42003,Allegheny,14,Franklin Park,Magna Solution,54 Paraiso Expressway,Bellingham,PA,37189,69,Insured-Subsidized,Housing Authority of Bell Acres,"141 Bass Hill, Mountlake Terrace, OK 41265",(412) 814-2740,Non-Profit,2002-09-28,284769,Darcey Mcneil,Eli Lilly and Company,5 Aztec Loop,(412) 345-4821,experience1922@protonmail.com,Limited Dividend,OHP
800215865,42003,Allegheny,15,McKees Rocks,382 Somerset Boulevard,316 Scotland Turnpike,Largo,PA,10626,250,Insured-Subsidized,Housing Authority of Brentwood,"805 Olive Crescent, West Des Moines, WY 61327",(412) 843-8566,Profit Motivated,1964-11-27,61131,Morton Graham,Ernod,670 Revello Point,(412) 308-0279,gen2008@outlook.com,Profit Motivated,Pittsburgh
800767953,42003,Allegheny,12,Crescent,441 Macalla Creek,22 Rey Place,Farmington Hills,PA,87160,47,Insured-Subsidized,Housing Authority of Bethel Park,"104 Moffitt Lane, Arnold, OR 00131",(412) 375-1773,Non-Profit,1985-06-01,157696,Clint Calderon,Lucas Oil,578 Monument Square,(412) 175-4610,perfect1805@protonmail.com,Profit Motivated,Pittsburgh
800840733,42003,Allegheny,13,Bellevue,Profitpros,1141 Fallon Junction,Joplin,PA,59948,30,Insured-Subsidized,Housing Authority of McCandless,"1149 Elm Ranch, Perth Amboy, IA 35778",(412) 508-3034,Limited Dividend,2017-06-21,76412,Kyle Owen,Peterbilt,1106 Bryn Mahr Route,(412) 822-7384,resolution1998@duck.com,Limited Dividend,Pittsburgh
800108180,42003,Allegheny,13,Etna,Lawnscape Garden Maintenance,1251 La Grande Rapids,Santa Fe,PA,83379,37,Insured-Subsidized,Housing Authority of Ben Avon,"579 Safira Ferry, South Burlington, NC 31391",(412) 022-9172,Profit Motivated,1973-07-07,408981,Augustine Hunter,Liberty Wealth Planners,175 Canyon Bypass,(412) 670-3313,bus2041@yandex.com,Limited Dividend,Baltimore
800660194,42003,Allegheny,17,Robinson,Strategic Profit,184 Ervine Court,Millbrook,PA,21512,212,Insured-Subsidized,Housing Authority of Lincoln,"1299 Dogwood Hills, San Pablo, MN 34229",(412) 843-1886,Limited Dividend,1973-08-28,5555,Herbert Morse,United Airlines,166 Music Concourse Access Extension,(412) 266-5594,switch1892@protonmail.com,Limited Dividend,Baltimore
800846269,42003,Allegheny,12,West Deer,H. J. Heinz Company,291 Lee Ferry,Jackson,PA,33470,224,Insured-Unsubsidized,Housing Authority of Mt Lebanon,"509 College Drive, Sumter, TX 86368",(412) 377-5141,Non-Profit,2012-12-12,237628,Efren Boyle,Plan Future,1335 Jones Avenue,(412) 966-9047,mod1834@outlook.com,Non-Profit,Baltimore
800681807,42003,Allegheny,14,Braddock,Jones Soda Co.,443 Taylor Row,Wylie,PA,68499,79,Insured-Subsidized,Housing Authority of Elizabeth,"793 Iris Center, El Paso, RI 94539",(412) 506-0228,Non-Profit,2009-11-28,242427,Jesse Emerson,Seagate Technology,655 Willie B Kennedy Terrace,(412) 068-9782,numbers2063@yandex.com,Limited Dividend,OHP
800066954,42003,Allegheny,15,Ingram,BNSF Railway,1198 Sansome Cove,North Little Rock,PA,88939,43,Insured-Unsubsidized,Housing Authority of Carnegie,"57 Santa Cruz Court, Vernon Hills, MT 54833",(412) 144-6456,Profit Motivated,1978-07-15,378871,Randolph Pacheco,NetZero,1302 Gordon Garden,(412) 366-2218,policy1914@example.com,Non-Profit,OHP
800148107,42003,Allegheny,13,Mt Lebanon,171 Piper Mews,790 Graham Spur,Ottumwa,PA,87859,196,Insured-Subsidized,Housing Authority of Harrison,"315 Harry Glen, Hackensack, NJ 79700",(412) 105-0172,Non-Profit,2000-07-12,300062,Lakita Dean,Southwest Airlines,635 Woodacre Canyon,(412) 145-5857,said1947@protonmail.com,Non-Profit,OHP
800814951,42003,Allegheny,17,Ohara,Monk House Maker,1348 Raymond Lane,Anniston,PA,51875,255,Insured-Subsidized,Housing Authority of Port Vue,"400 Mclaren Lodge Access Station, Steubenville, NJ 10279",(412) 139-4440,Limited Dividend,1983-04-25,237089,Stefan Hayes,Uwajimaya,400 Persia Circle,(412) 071-9166,failing1876@outlook.com,Limited Dividend,Baltimore
800773544,42003,Allegheny,16,Upper St Clair,H. J. Heinz Company,666 Upton Square,Port Chester,PA,40291,12,Insured-Subsidized,Housing Authority of East Pittsburgh,"1040 Fort Mason Highway, Council Bluffs, WV 65915",(412) 593-4957,Profit Motivated,1972-09-09,187144,Fredia Valdez,Magna Wealth,67 Balboa Trail,(412) 677-2191,led1992@outlook.com,Non-Profit,OHP
800744577,42003,Allegheny,12,East Deer,Fisher Electronics,219 Kelloch Turnpike,Suffolk,PA,21960,293,Insured-Subsidized,Housing Authority of McKeesport,"39 Rosemont Row, Palm Springs, OK 84134",(412) 640-1902,Profit Motivated,1978-05-13,377231,Alec Melton,Welch's,931 Serrano Bayou,(412) 808-2136,reminder1827@example.com,Profit Motivated,Baltimore
800753186,42003,Allegheny,13,Stowe,1052 Lamson Court,841 Prentiss Boulevard,Chaska,PA,13183,308,Insured-Subsidized,Housing Authority of Braddock Hills,"418 Margaret Square, Carteret, SC 70593",(412) 254-8119,Non-Profit,2020-11-01,364534,Bruce Hart,Locost Accessories,150 Carolina Drive,(412) 277-3586,commissioner1893@example.org,Non-Profit,Pittsburgh
800255277,42003,Allegheny,12,Clairton,America Online,914 Cyril Magnin Bridge,Pullman,PA,82145,214,Insured-Unsubsidized,Housing Authority of Kennedy,"1374 Burlwood Square, Hickory, NH 53948",(412) 584-0612,Limited Dividend,1971-10-24,422664,Shondra Drake,Quiznos,80 Wright Lake,(412) 709-6012,includes2068@yandex.com,Profit Motivated,Pittsburgh
800658684,42003,Allegheny,15,Versailles,Arch Coal,703 Townsend Spur,Willmar,PA,03461,9,Insured-Unsubsidized,Housing Authority of Fox Chapel,"428 Conservatory Access Bridge, Saginaw, WI 92471",(412) 638-8689,Non-Profit,1983-05-22,322329,Bethel Wilkins,Alliant Energy,1125 Keppler Boulevard,(412) 970-9640,quick1878@example.com,Limited Dividend,Pittsburgh
800868320,42003,Allegheny,12,Richland,1138 Magellan Pine,1382 Homestead Alley,Hickory,PA,94164,326,Insured-Unsubsidized,Housing Authority of Homestead,"600 Butte Lane, Elk River, NC 37057",(412) 223-0622,Profit Motivated,2010-08-28,237244,Lavette Guzman,Chugach Alaska Corporation,985 North Hughes Stravenue,(412) 026-3947,warner1947@outlook.com,Limited Dividend,Baltimore
800932367,42003,Allegheny,17,Dravosburg,Megatronic Mux,344 Concourse Square,Galesburg,PA,10527,435,Insured-Unsubsidized,Housing Authority of Indiana,"1033 Pinehurst Place, Sunrise, MT 29040",(412) 634-1271,Non-Profit,2008-01-24,48746,Chong Ochoa,AT&T,973 Fitzgerald Trail,(412) 917-9063,conduct1966@example.com,Profit Motivated,Pittsburgh
800590109,42003,Allegheny,13,Wilkins,Corpbay,963 Elmwood Field,Balch Springs,PA,54406,475,Insured-Subsidized,Housing Authority of North Braddock,"277 Arbol Walk, Herriman, NJ 75878",(412) 673-9843,Limited Dividend,2019-01-12,421444,Naoma Cortez,Ubu Productions,775 Richland Loop,(412) 222-0809,lodging2007@yahoo.com,Limited Dividend,Baltimore
800828380,42003,Allegheny,12,Sewickley,Belkin,116 Cochrane Gardens,Van Buren,PA,82838,128,Insured-Unsubsidized,Housing Authority of Wilkins,"277 Cushman Crossing, Nicholasville, WI 45685",(412) 825-5781,Profit Motivated,2016-08-15,384778,Zenia Foley,Rivera Property Maintenance,647 Eve Bypass,(412) 591-7609,wired1907@yandex.com,Profit Motivated,Baltimore
800390798,42003,Allegheny,15,Munhall,Magna Consulting,407 Colon Place,Cutler Bay,PA,10298,196,Insured-Subsidized,Housing Authority of Springdale,"1279 Lori Bend, Raymore, MN 48740",(412) 478-6831,Non-Profit,1996-06-12,100488,Rozanne Snyder,Team Uno,1247 Ramona Run,(412) 390-7163,hang2034@example.com,Profit Motivated,OHP
800304855,42003,Allegheny,17,Marshall,Greyvoid,126 Taber Hills,Trotwood,PA,79569,394,Insured-Subsidized,Housing Authority of North Versailles,"916 Woolsey Freeway, Napa, NJ 59182",(412) 172-4114,Non-Profit,2010-01-26,168739,Lilliana Bishop,A+ Investments,515 Gambier Extension,(412) 475-6531,fame2025@example.org,Non-Profit,OHP
